letter,all_candidates
WI_Average-Regular_Approach1,71
WJ_Average-Regular_Approach1,71
WM_Average-Regular_Approach1,96
WP_Average-Regular_Approach1,81
WPG_Average-Regular_Approach1,125
WQ_Average-Regular_Approach1,81
WW_Average-Regular_Approach1,76
WWA_Average-Regular_Approach1,112
XBL_Average-Regular_Approach1,135
XGU_Average-Regular_Approach1,148
XIT_Average-Regular_Approach1,128
XJ_Average-Regular_Approach1,87
XL_Average-Regular_Approach1,92
XMA_Average-Regular_Approach1,138
XP_Average-Regular_Approach1,99
XRT_Average-Regular_Approach1,145
XT_Average-Regular_Approach1,103
XWI_Average-Regular_Approach1,127
XXW_Average-Regular_Approach1,149
YDH_Average-Regular_Approach1,158
YUT_Average-Regular_Approach1,131
YXW_Average-Regular_Approach1,138
ZCI_Average-Regular_Approach1,75
ZGC_Average-Regular_Approach1,101
ZJY_Average-Regular_Approach1,86
ZOZ_Average-Regular_Approach1,79
ZSM_Average-Regular_Approach1,99
A_arial_Approach1,15
ACI_arial_Approach1,53
AEJ_arial_Approach1,46
AEY_arial_Approach1,44
AJD_arial_Approach1,58
AKV_arial_Approach1,43
ANC_arial_Approach1,56
AOQ_arial_Approach1,87
ARV_arial_Approach1,64
AW_arial_Approach1,40
AX_arial_Approach1,38
AXF_arial_Approach1,50
AZ_arial_Approach1,31
AZH_arial_Approach1,47
AT_arial_Approach1,23
AJQ_arial_Approach1,77
B_arial_Approach1,43
BEV_arial_Approach1,61
BKQ_arial_Approach1,92
BLC_arial_Approach1,75
BO_arial_Approach1,66
BTM_arial_Approach1,67
BVD_arial_Approach1,83
BOC_arial_Approach1,92
CBS_arial_Approach1,116
CGY_arial_Approach1,78
CIO_arial_Approach1,65
COP_arial_Approach1,85
CRK_arial_Approach1,82
CU_arial_Approach1,51
CUH_arial_Approach1,62
CV_arial_Approach1,43
CWC_arial_Approach1,88
CXS_arial_Approach1,101
CVG_arial_Approach1,82
DAQ_arial_Approach1,84
DCJ_arial_Approach1,79
DGC_arial_Approach1,94
DGH_arial_Approach1,80
DI_arial_Approach1,31
DIH_arial_Approach1,43
DJI_arial_Approach1,50
DMF_arial_Approach1,57
DMP_arial_Approach1,72
DP_arial_Approach1,56
DU_arial_Approach1,46
DV_arial_Approach1,38
EDH_arial_Approach1,57
EHX_arial_Approach1,52
EL_arial_Approach1,25
EOB_arial_Approach1,85
EP_arial_Approach1,42
ER_arial_Approach1,52
ETC_arial_Approach1,51
EU_arial_Approach1,38
EVG_arial_Approach1,68
FHP_arial_Approach1,51
FL_arial_Approach1,22
FPJ_arial_Approach1,56
FSB_arial_Approach1,99
FUX_arial_Approach1,59
G_arial_Approach1,38
GC_arial_Approach1,65
GD_arial_Approach1,70
GEZ_arial_Approach1,66
GHJ_arial_Approach1,69
GM_arial_Approach1,55
GMU_arial_Approach1,76
GPS_arial_Approach1,113
GTB_arial_Approach1,89
GWG_arial_Approach1,105
HI_arial_Approach1,16
HKD_arial_Approach1,56
HO_arial_Approach1,39
HBV_arial_Approach1,64
IA_arial_Approach1,22
IB_arial_Approach1,47
IBY_arial_Approach1,61
IC_arial_Approach1,33
IH_arial_Approach1,16
IN_arial_Approach1,14
IP_arial_Approach1,29
IZ_arial_Approach1,17
JA_arial_Approach1,35
JB_arial_Approach1,57
JBR_arial_Approach1,83
JC_arial_Approach1,49
JCD_arial_Approach1,81
JD_arial_Approach1,44
JHR_arial_Approach1,63
JJ_arial_Approach1,35
JNY_arial_Approach1,42
JO_arial_Approach1,49
JRA_arial_Approach1,68
JXD_arial_Approach1,74
KGO_arial_Approach1,77
KIW_arial_Approach1,45
KJ_arial_Approach1,29
KJP_arial_Approach1,52
KJQ_arial_Approach1,74
KQF_arial_Approach1,62
LAC_arial_Approach1,53
LBP_arial_Approach1,68
LZT_arial_Approach1,28
LWC_arial_Approach1,62
MB_arial_Approach1,60
MMK_arial_Approach1,46
MNW_arial_Approach1,53
MP_arial_Approach1,42
MY_arial_Approach1,31
NB_arial_Approach1,53
ND_arial_Approach1,40
NJY_arial_Approach1,45
NPP_arial_Approach1,58
NUO_arial_Approach1,55
NWF_arial_Approach1,47
NWW_arial_Approach1,64
O_arial_Approach1,28
OGB_arial_Approach1,103
OGW_arial_Approach1,88
OMJ_arial_Approach1,64
OPN_arial_Approach1,62
P_arial_Approach1,25
PAZ_arial_Approach1,56
PD_arial_Approach1,54
PI_arial_Approach1,31
PJW_arial_Approach1,64
PQW_arial_Approach1,94
PYE_arial_Approach1,49
PYO_arial_Approach1,64
Q_arial_Approach1,41
QFN_arial_Approach1,66
QFR_arial_Approach1,88
QLZ_arial_Approach1,61
QM_arial_Approach1,59
QN_arial_Approach1,52
QW_arial_Approach1,67
QX_arial_Approach1,64
QYH_arial_Approach1,70
QYR_arial_Approach1,92
QMP_arial_Approach1,84
QPV_arial_Approach1,78
RJ_arial_Approach1,50
RMJ_arial_Approach1,69
SF_arial_Approach1,57
SH_arial_Approach1,61
SL_arial_Approach1,60
SNO_arial_Approach1,89
SOF_arial_Approach1,89
SOG_arial_Approach1,112
SOS_arial_Approach1,125
SVY_arial_Approach1,74
SYZ_arial_Approach1,77
TIA_arial_Approach1,30
SD_arial_Approach1,81
SDF_arial_Approach1,88
TRD_arial_Approach1,74
TS_arial_Approach1,57
TSM_arial_Approach1,77
TU_arial_Approach1,29
U_arial_Approach1,21
UA_arial_Approach1,36
UD_arial_Approach1,50
UH_arial_Approach1,32
UI_arial_Approach1,24
UIN_arial_Approach1,34
UJ_arial_Approach1,37
UNY_arial_Approach1,45
UP_arial_Approach1,45
UPJ_arial_Approach1,63
VNM_arial_Approach1,39
VQ_arial_Approach1,53
VUJ_arial_Approach1,49
WD_arial_Approach1,56
WF_arial_Approach1,36
WFD_arial_Approach1,71
WG_arial_Approach1,64
WI_arial_Approach1,30
WJ_arial_Approach1,43
WM_arial_Approach1,43
WP_arial_Approach1,51
WPG_arial_Approach1,89
WQ_arial_Approach1,67
WW_arial_Approach1,53
XBL_arial_Approach1,66
XGU_arial_Approach1,78
XIT_arial_Approach1,34
XJ_arial_Approach1,38
XL_arial_Approach1,28
XMA_arial_Approach1,56
XP_arial_Approach1,47
XRT_arial_Approach1,66
XT_arial_Approach1,29
XWI_arial_Approach1,53
XXW_arial_Approach1,73
YDH_arial_Approach1,54
YUT_arial_Approach1,45
YXW_arial_Approach1,64
ZCI_arial_Approach1,51
ZGC_arial_Approach1,79
ZJY_arial_Approach1,50
ZOZ_arial_Approach1,56
ZSM_arial_Approach1,80
A_Average-Regular_Approach2,36
ACI_Average-Regular_Approach2,87
AEJ_Average-Regular_Approach2,110
AEY_Average-Regular_Approach2,128
AJD_Average-Regular_Approach2,110
AKV_Average-Regular_Approach2,115
ANC_Average-Regular_Approach2,120
ARV_Average-Regular_Approach2,119
AW_Average-Regular_Approach2,77
AX_Average-Regular_Approach2,92
AXF_Average-Regular_Approach2,140
AZ_Average-Regular_Approach2,58
AZH_Average-Regular_Approach2,121
AT_Average-Regular_Approach2,80
B_Average-Regular_Approach2,53
BEV_Average-Regular_Approach2,128
BKQ_Average-Regular_Approach2,94
BLC_Average-Regular_Approach2,114
BO_Average-Regular_Approach2,86
BTM_Average-Regular_Approach2,149
BVD_Average-Regular_Approach2,130
BOC_Average-Regular_Approach2,115
CBS_Average-Regular_Approach2,116
CGY_Average-Regular_Approach2,118
CIO_Average-Regular_Approach2,74
COP_Average-Regular_Approach2,103
CRK_Average-Regular_Approach2,118
CU_Average-Regular_Approach2,77
CUH_Average-Regular_Approach2,143
CV_Average-Regular_Approach2,57
CWC_Average-Regular_Approach2,96
CXS_Average-Regular_Approach2,102
CVG_Average-Regular_Approach2,103
DAQ_Average-Regular_Approach2,82
DCJ_Average-Regular_Approach2,102
DGC_Average-Regular_Approach2,120
DGH_Average-Regular_Approach2,145
DI_Average-Regular_Approach2,75
DIH_Average-Regular_Approach2,125
