letter,all_candidates
KJ_perspire_Boundaries,79
KJP_perspire_Boundaries,121
LAC_perspire_Boundaries,129
LBP_perspire_Boundaries,144
LZT_perspire_Boundaries,93
LWC_perspire_Boundaries,122
MB_perspire_Boundaries,166
MMK_perspire_Boundaries,151
MNW_perspire_Boundaries,152
MP_perspire_Boundaries,101
MY_perspire_Boundaries,106
NB_perspire_Boundaries,132
ND_perspire_Boundaries,154
NJY_perspire_Boundaries,124
NPP_perspire_Boundaries,126
NUO_perspire_Boundaries,139
NWF_perspire_Boundaries,98
NWW_perspire_Boundaries,142
O_perspire_Boundaries,56
OGB_perspire_Boundaries,134
OGW_perspire_Boundaries,165
OMJ_perspire_Boundaries,146
OPN_perspire_Boundaries,128
P_perspire_Boundaries,48
PAZ_perspire_Boundaries,129
PD_perspire_Boundaries,189
PI_perspire_Boundaries,61
PJW_perspire_Boundaries,135
PQW_perspire_Boundaries,252
PYE_perspire_Boundaries,99
PYO_perspire_Boundaries,144
RJ_perspire_Boundaries,86
RMJ_perspire_Boundaries,132
SF_perspire_Boundaries,32
SH_perspire_Boundaries,73
SL_perspire_Boundaries,62
SNO_perspire_Boundaries,126
SOF_perspire_Boundaries,85
SOG_perspire_Boundaries,142
SOS_perspire_Boundaries,116
SVY_perspire_Boundaries,124
SYZ_perspire_Boundaries,103
TA_perspire_Boundaries,76
TIA_perspire_Boundaries,79
TLV_perspire_Boundaries,94
SD_perspire_Boundaries,154
SDF_perspire_Boundaries,154
TRD_perspire_Boundaries,194
TS_perspire_Boundaries,62
TSM_perspire_Boundaries,114
TU_perspire_Boundaries,64
U_perspire_Boundaries,44
UA_perspire_Boundaries,96
UAV_perspire_Boundaries,131
UD_perspire_Boundaries,154
UH_perspire_Boundaries,85
UI_perspire_Boundaries,59
UIN_perspire_Boundaries,89
UJ_perspire_Boundaries,80
UNY_perspire_Boundaries,136
UP_perspire_Boundaries,88
UPJ_perspire_Boundaries,118
VNM_perspire_Boundaries,140
VQ_perspire_Boundaries,190
VUJ_perspire_Boundaries,122
WD_perspire_Boundaries,186
WF_perspire_Boundaries,56
WFD_perspire_Boundaries,186
WG_perspire_Boundaries,106
WI_perspire_Boundaries,60
WJ_perspire_Boundaries,87
WM_perspire_Boundaries,100
WP_perspire_Boundaries,96
WPG_perspire_Boundaries,153
WQ_perspire_Boundaries,186
WW_perspire_Boundaries,100
WWA_perspire_Boundaries,144
XBL_perspire_Boundaries,198
XGU_perspire_Boundaries,137
XIT_perspire_Boundaries,83
XJ_perspire_Boundaries,76
XL_perspire_Boundaries,69
XMA_perspire_Boundaries,144
XP_perspire_Boundaries,84
XRT_perspire_Boundaries,115
XT_perspire_Boundaries,75
XWI_perspire_Boundaries,97
XXW_perspire_Boundaries,125
YDH_perspire_Boundaries,269
YUT_perspire_Boundaries,125
YXW_perspire_Boundaries,142
ZCI_perspire_Boundaries,81
ZGC_perspire_Boundaries,125
ZJY_perspire_Boundaries,114
ZOZ_perspire_Boundaries,107
ZSM_perspire_Boundaries,114
A_perspire_Approach2,56
ACI_perspire_Approach2,113
AEJ_perspire_Approach2,92
AEY_perspire_Approach2,105
AJD_perspire_Approach2,206
AKV_perspire_Approach2,121
ANC_perspire_Approach2,141
ARV_perspire_Approach2,139
AW_perspire_Approach2,108
AX_perspire_Approach2,92
AXF_perspire_Approach2,92
AZ_perspire_Approach2,87
AZH_perspire_Approach2,119
AT_perspire_Approach2,87
B_perspire_Approach2,88
BEV_perspire_Approach2,145
BKQ_perspire_Approach2,121
BLC_perspire_Approach2,132
BO_perspire_Approach2,100
BTM_perspire_Approach2,160
BVD_perspire_Approach2,159
BOC_perspire_Approach2,136
CBS_perspire_Approach2,110
CGY_perspire_Approach2,158
CIO_perspire_Approach2,104
COP_perspire_Approach2,146
CRK_perspire_Approach2,134
CU_perspire_Approach2,90
CUH_perspire_Approach2,131
CV_perspire_Approach2,90
CWC_perspire_Approach2,136
CXS_perspire_Approach2,121
CVG_perspire_Approach2,149
DAQ_perspire_Approach2,211
DCJ_perspire_Approach2,207
DGC_perspire_Approach2,215
DGH_perspire_Approach2,251
DI_perspire_Approach2,117
DIH_perspire_Approach2,189
DJI_perspire_Approach2,194
DMF_perspire_Approach2,189
DMP_perspire_Approach2,265
DP_perspire_Approach2,140
DU_perspire_Approach2,153
DV_perspire_Approach2,225
EDH_perspire_Approach2,189
EHX_perspire_Approach2,80
EL_perspire_Approach2,32
EOB_perspire_Approach2,100
EP_perspire_Approach2,48
ER_perspire_Approach2,54
ETC_perspire_Approach2,68
EU_perspire_Approach2,44
EVG_perspire_Approach2,103
FHP_perspire_Approach2,88
FL_perspire_Approach2,32
FPJ_perspire_Approach2,85
FSB_perspire_Approach2,112
FUX_perspire_Approach2,80
G_perspire_Approach2,62
GC_perspire_Approach2,105
GD_perspire_Approach2,176
GEZ_perspire_Approach2,94
GHJ_perspire_Approach2,137
GM_perspire_Approach2,114
GMU_perspire_Approach2,156
GPS_perspire_Approach2,131
GTB_perspire_Approach2,178
GWG_perspire_Approach2,163
HI_perspire_Approach2,58
HKD_perspire_Approach2,352
HO_perspire_Approach2,96
HBV_perspire_Approach2,219
IA_perspire_Approach2,60
IB_perspire_Approach2,88
IBY_perspire_Approach2,126
IC_perspire_Approach2,52
IH_perspire_Approach2,48
IN_perspire_Approach2,48
IP_perspire_Approach2,56
IZ_perspire_Approach2,47
JA_perspire_Approach2,90
JB_perspire_Approach2,130
JBR_perspire_Approach2,152
JC_perspire_Approach2,83
JCD_perspire_Approach2,158
JD_perspire_Approach2,190
JHR_perspire_Approach2,121
JJ_perspire_Approach2,74
JNY_perspire_Approach2,122
JO_perspire_Approach2,91
JRA_perspire_Approach2,130
JXD_perspire_Approach2,234
KGO_perspire_Approach2,148
KIW_perspire_Approach2,95
KJ_perspire_Approach2,79
KJP_perspire_Approach2,121
LAC_perspire_Approach2,129
LBP_perspire_Approach2,144
LZT_perspire_Approach2,93
LWC_perspire_Approach2,122
MB_perspire_Approach2,166
MMK_perspire_Approach2,151
MNW_perspire_Approach2,152
MP_perspire_Approach2,101
MY_perspire_Approach2,106
NB_perspire_Approach2,132
ND_perspire_Approach2,154
NJY_perspire_Approach2,124
NPP_perspire_Approach2,126
NUO_perspire_Approach2,139
NWF_perspire_Approach2,98
NWW_perspire_Approach2,142
O_perspire_Approach2,56
OGB_perspire_Approach2,134
OGW_perspire_Approach2,165
OMJ_perspire_Approach2,146
OPN_perspire_Approach2,128
P_perspire_Approach2,48
PAZ_perspire_Approach2,129
PD_perspire_Approach2,189
PI_perspire_Approach2,61
PJW_perspire_Approach2,135
PQW_perspire_Approach2,252
PYE_perspire_Approach2,99
PYO_perspire_Approach2,144
RJ_perspire_Approach2,86
RMJ_perspire_Approach2,132
SF_perspire_Approach2,32
SH_perspire_Approach2,73
SL_perspire_Approach2,62
SNO_perspire_Approach2,126
SOF_perspire_Approach2,85
SOG_perspire_Approach2,142
SOS_perspire_Approach2,116
SVY_perspire_Approach2,124
SYZ_perspire_Approach2,103
TA_perspire_Approach2,76
TIA_perspire_Approach2,79
TLV_perspire_Approach2,94
SD_perspire_Approach2,154
SDF_perspire_Approach2,154
TRD_perspire_Approach2,194
TS_perspire_Approach2,62
TSM_perspire_Approach2,114
TU_perspire_Approach2,64
U_perspire_Approach2,44
UA_perspire_Approach2,96
UAV_perspire_Approach2,131
UD_perspire_Approach2,154
UH_perspire_Approach2,85
UI_perspire_Approach2,59
UIN_perspire_Approach2,89
UJ_perspire_Approach2,80
UNY_perspire_Approach2,136
UP_perspire_Approach2,88
UPJ_perspire_Approach2,118
VNM_perspire_Approach2,140
VQ_perspire_Approach2,190
VUJ_perspire_Approach2,122
WD_perspire_Approach2,186
WF_perspire_Approach2,56
WFD_perspire_Approach2,186
WG_perspire_Approach2,106
WI_perspire_Approach2,60
WJ_perspire_Approach2,87
WM_perspire_Approach2,100
WP_perspire_Approach2,96
WPG_perspire_Approach2,153
WQ_perspire_Approach2,186
WW_perspire_Approach2,100
WWA_perspire_Approach2,144
XBL_perspire_Approach2,198
XGU_perspire_Approach2,137
XIT_perspire_Approach2,83
XJ_perspire_Approach2,76
XL_perspire_Approach2,69
XMA_perspire_Approach2,144
XP_perspire_Approach2,84
XRT_perspire_Approach2,115
XT_perspire_Approach2,75
XWI_perspire_Approach2,97
XXW_perspire_Approach2,125
YDH_perspire_Approach2,269
YUT_perspire_Approach2,125
YXW_perspire_Approach2,142
ZCI_perspire_Approach2,81
ZGC_perspire_Approach2,125
ZJY_perspire_Approach2,114
ZOZ_perspire_Approach2,107
ZSM_perspire_Approach2,114
