letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight
CGY_Average-Regular_Approach1,12,2,0,6,16
CIO_Average-Regular_Approach1,19,4,0,7,19
CIO_Average-Regular_Approach1,13,1,0,7,19
CIO_Average-Regular_Approach1,17,3,0,7,19
CIO_Average-Regular_Approach1,15,2,0,7,19
COP_Average-Regular_Approach1,13,3,0,6,15
COP_Average-Regular_Approach1,7,1,0,6,15
COP_Average-Regular_Approach1,11,2,0,6,15
CRK_Average-Regular_Approach1,20,5,0,9,20
CRK_Average-Regular_Approach1,8,1,0,9,20
CRK_Average-Regular_Approach1,14,2,0,9,20
CRK_Average-Regular_Approach1,16,3,0,9,20
CRK_Average-Regular_Approach1,18,4,0,9,20
CU_Average-Regular_Approach1,12,2,0,3,12
CU_Average-Regular_Approach1,10,1,0,3,12
CUH_Average-Regular_Approach1,12,2,0,3,12
CUH_Average-Regular_Approach1,10,1,0,3,12
CV_Average-Regular_Approach1,19,3,0,6,19
CV_Average-Regular_Approach1,12,1,0,6,19
CV_Average-Regular_Approach1,17,2,0,6,19
CWC_Average-Regular_Approach1,38,9,0,16,38
CWC_Average-Regular_Approach1,22,3,0,16,38
CWC_Average-Regular_Approach1,8,1,0,16,38
CWC_Average-Regular_Approach1,16,2,0,16,38
CWC_Average-Regular_Approach1,34,7,0,16,38
CWC_Average-Regular_Approach1,30,5,0,16,38
CWC_Average-Regular_Approach1,28,4,0,16,38
CWC_Average-Regular_Approach1,36,8,0,16,38
CWC_Average-Regular_Approach1,32,6,0,16,38
CXS_Average-Regular_Approach1,19,3,0,6,19
CXS_Average-Regular_Approach1,11,1,0,6,19
CXS_Average-Regular_Approach1,16,2,0,6,19
CVG_Average-Regular_Approach1,14,3,0,5,14
CVG_Average-Regular_Approach1,8,1,0,5,14
CVG_Average-Regular_Approach1,12,2,0,5,14
DAQ_Average-Regular_Approach1,34,7,0,15,34
DAQ_Average-Regular_Approach1,12,1,0,15,34
DAQ_Average-Regular_Approach1,26,4,0,15,34
DAQ_Average-Regular_Approach1,22,3,0,15,34
DAQ_Average-Regular_Approach1,18,2,0,15,34
DAQ_Average-Regular_Approach1,32,6,0,15,34
DAQ_Average-Regular_Approach1,30,5,0,15,34
DCJ_Average-Regular_Approach1,20,4,0,9,20
DCJ_Average-Regular_Approach1,10,1,0,9,20
DCJ_Average-Regular_Approach1,16,2,0,9,20
DCJ_Average-Regular_Approach1,18,3,0,9,20
DGC_Average-Regular_Approach1,16,5,0,9,20
DGC_Average-Regular_Approach1,8,2,0,9,20
DGC_Average-Regular_Approach1,4,1,0,9,20
DGC_Average-Regular_Approach1,14,4,0,9,20
DGC_Average-Regular_Approach1,12,3,0,9,20
DGH_Average-Regular_Approach1,4,1,0,3,8
DI_Average-Regular_Approach1,4,1,0,2,4
DIH_Average-Regular_Approach1,4,1,0,2,4
DJI_Average-Regular_Approach1,8,2,0,4,8
DJI_Average-Regular_Approach1,4,1,0,4,8
DMF_Average-Regular_Approach1,20,4,0,8,20
DMF_Average-Regular_Approach1,12,1,0,8,20
DMF_Average-Regular_Approach1,16,2,0,8,20
DMF_Average-Regular_Approach1,18,3,0,8,20
DMP_Average-Regular_Approach1,25,4,0,9,25
DMP_Average-Regular_Approach1,9,1,0,9,25
DMP_Average-Regular_Approach1,17,2,0,9,25
DMP_Average-Regular_Approach1,23,3,0,9,25
DP_Average-Regular_Approach1,8,3,0,4,8
DP_Average-Regular_Approach1,4,1,0,4,8
DP_Average-Regular_Approach1,6,2,0,4,8
DU_Average-Regular_Approach1,4,2,0,2,4
DU_Average-Regular_Approach1,2,1,0,2,4
DV_Average-Regular_Approach1,9,1,0,2,9
EDH_Average-Regular_Approach1,14,3,0,6,14
EDH_Average-Regular_Approach1,8,1,0,6,14
EDH_Average-Regular_Approach1,12,2,0,6,14
EHX_Average-Regular_Approach1,24,4,0,8,24
EHX_Average-Regular_Approach1,20,3,0,8,24
EHX_Average-Regular_Approach1,7,1,0,8,24
EHX_Average-Regular_Approach1,14,2,0,8,24
EL_Average-Regular_Approach1,10,2,0,4,10
EL_Average-Regular_Approach1,8,1,0,4,10
EOB_Average-Regular_Approach1,11,3,0,6,13
EOB_Average-Regular_Approach1,5,1,0,6,13
EOB_Average-Regular_Approach1,9,2,0,6,13
EP_Average-Regular_Approach1,10,2,0,4,10
EP_Average-Regular_Approach1,8,1,0,4,10
ER_Average-Regular_Approach1,7,2,0,3,7
ER_Average-Regular_Approach1,5,1,0,3,7
ETC_Average-Regular_Approach1,12,2,0,6,12
ETC_Average-Regular_Approach1,8,1,0,6,12
EU_Average-Regular_Approach1,17,4,0,7,17
EU_Average-Regular_Approach1,6,1,0,7,17
EU_Average-Regular_Approach1,12,2,0,7,17
EU_Average-Regular_Approach1,15,3,0,7,17
EVG_Average-Regular_Approach1,10,2,0,3,10
EVG_Average-Regular_Approach1,8,1,0,3,10
FHP_Average-Regular_Approach1,19,4,0,8,21
FHP_Average-Regular_Approach1,8,1,0,8,21
FHP_Average-Regular_Approach1,17,3,0,8,21
FHP_Average-Regular_Approach1,14,2,0,8,21
FL_Average-Regular_Approach1,13,2,0,4,13
FL_Average-Regular_Approach1,7,1,0,4,13
FPJ_Average-Regular_Approach1,21,4,0,7,21
FPJ_Average-Regular_Approach1,13,2,0,7,21
FPJ_Average-Regular_Approach1,7,1,0,7,21
FPJ_Average-Regular_Approach1,19,3,0,7,21
FSB_Average-Regular_Approach1,14,2,0,7,14
FSB_Average-Regular_Approach1,8,1,0,7,14
FUX_Average-Regular_Approach1,5,1,0,2,5
GC_Average-Regular_Approach1,12,4,0,6,12
GC_Average-Regular_Approach1,4,1,0,6,12
GC_Average-Regular_Approach1,10,3,0,6,12
GC_Average-Regular_Approach1,8,2,0,6,12
GD_Average-Regular_Approach1,4,1,0,2,4
GEZ_Average-Regular_Approach1,5,1,0,2,5
GHJ_Average-Regular_Approach1,22,4,0,10,24
GHJ_Average-Regular_Approach1,10,1,0,10,24
GHJ_Average-Regular_Approach1,16,2,0,10,24
GHJ_Average-Regular_Approach1,20,3,0,10,24
GM_Average-Regular_Approach1,9,2,0,3,9
GM_Average-Regular_Approach1,7,1,0,3,9
GMU_Average-Regular_Approach1,12,5,0,6,12
GMU_Average-Regular_Approach1,4,1,0,6,12
GMU_Average-Regular_Approach1,10,4,0,6,12
GMU_Average-Regular_Approach1,6,2,0,6,12
GMU_Average-Regular_Approach1,8,3,0,6,12
GPS_Average-Regular_Approach1,13,4,0,5,13
GPS_Average-Regular_Approach1,5,1,0,5,13
GPS_Average-Regular_Approach1,9,2,0,5,13
GPS_Average-Regular_Approach1,11,3,0,5,13
GTB_Average-Regular_Approach1,13,3,0,6,13
GTB_Average-Regular_Approach1,5,1,0,6,13
GTB_Average-Regular_Approach1,9,2,0,6,13
GWG_Average-Regular_Approach1,20,4,0,6,20
GWG_Average-Regular_Approach1,8,1,0,6,20
GWG_Average-Regular_Approach1,18,3,0,6,20
GWG_Average-Regular_Approach1,16,2,0,6,20
HKD_Average-Regular_Approach1,16,4,0,7,19
HKD_Average-Regular_Approach1,7,1,0,7,19
HKD_Average-Regular_Approach1,11,2,0,7,19
HKD_Average-Regular_Approach1,14,3,0,7,19
HO_Average-Regular_Approach1,17,4,0,7,17
HO_Average-Regular_Approach1,11,1,0,7,17
HO_Average-Regular_Approach1,13,2,0,7,17
HO_Average-Regular_Approach1,15,3,0,7,17
HBV_Average-Regular_Approach1,16,3,0,6,19
HBV_Average-Regular_Approach1,9,1,0,6,19
HBV_Average-Regular_Approach1,13,2,0,6,19
IA_Average-Regular_Approach1,13,3,0,6,13
IA_Average-Regular_Approach1,11,2,0,6,13
IA_Average-Regular_Approach1,6,1,0,6,13
IB_Average-Regular_Approach1,2,1,0,2,4
IBY_Average-Regular_Approach1,7,2,0,4,9
IBY_Average-Regular_Approach1,5,1,0,4,9
IC_Average-Regular_Approach1,4,1,0,2,4
IN_Average-Regular_Approach1,10,1,0,3,12
IP_Average-Regular_Approach1,2,1,0,2,4
IZ_Average-Regular_Approach1,13,3,0,5,13
IZ_Average-Regular_Approach1,6,1,0,5,13
IZ_Average-Regular_Approach1,11,2,0,5,13
JA_Average-Regular_Approach1,12,4,0,5,12
JA_Average-Regular_Approach1,10,3,0,5,12
JA_Average-Regular_Approach1,8,1,0,5,12
JBR_Average-Regular_Approach1,14,2,0,6,14
JBR_Average-Regular_Approach1,12,1,0,6,14
JC_Average-Regular_Approach1,8,2,0,4,8
JC_Average-Regular_Approach1,4,1,0,4,8
JCD_Average-Regular_Approach1,12,3,0,6,12
JCD_Average-Regular_Approach1,8,2,0,6,12
JCD_Average-Regular_Approach1,4,1,0,6,12
JHR_Average-Regular_Approach1,3,1,0,2,6
JJ_Average-Regular_Approach1,4,1,0,2,4
JNY_Average-Regular_Approach1,17,2,0,4,17
JNY_Average-Regular_Approach1,10,1,0,4,17
JO_Average-Regular_Approach1,12,4,0,6,12
JO_Average-Regular_Approach1,4,1,0,6,12
JO_Average-Regular_Approach1,10,3,0,6,12
JO_Average-Regular_Approach1,8,2,0,6,12
JRA_Average-Regular_Approach1,15,3,0,6,15
JRA_Average-Regular_Approach1,6,1,0,6,15
JRA_Average-Regular_Approach1,12,2,0,6,15
KGO_Average-Regular_Approach1,18,6,0,10,20
KGO_Average-Regular_Approach1,8,2,0,10,20
KGO_Average-Regular_Approach1,4,1,0,10,20
KGO_Average-Regular_Approach1,16,5,0,10,20
KGO_Average-Regular_Approach1,12,3,0,10,20
KGO_Average-Regular_Approach1,14,4,0,10,20
KIW_Average-Regular_Approach1,46,10,0,16,46
KIW_Average-Regular_Approach1,10,1,0,16,46
KIW_Average-Regular_Approach1,19,2,0,16,46
KIW_Average-Regular_Approach1,32,4,0,16,46
KIW_Average-Regular_Approach1,36,5,0,16,46
KIW_Average-Regular_Approach1,28,3,0,16,46
KIW_Average-Regular_Approach1,44,9,0,16,46
KIW_Average-Regular_Approach1,42,8,0,16,46
KIW_Average-Regular_Approach1,40,7,0,16,46
KIW_Average-Regular_Approach1,38,6,0,16,46
KJ_Average-Regular_Approach1,17,4,0,7,17
KJ_Average-Regular_Approach1,6,1,0,7,17
KJ_Average-Regular_Approach1,11,2,0,7,17
KJ_Average-Regular_Approach1,15,3,0,7,17
KJP_Average-Regular_Approach1,13,3,0,6,15
KJP_Average-Regular_Approach1,8,1,0,6,15
KJP_Average-Regular_Approach1,12,2,0,6,15
KJQ_Average-Regular_Approach1,26,6,0,11,26
KJQ_Average-Regular_Approach1,14,2,0,11,26
KJQ_Average-Regular_Approach1,18,3,0,11,26
KJQ_Average-Regular_Approach1,8,1,0,11,26
KJQ_Average-Regular_Approach1,24,5,0,11,26
KJQ_Average-Regular_Approach1,22,4,0,11,26
KQF_Average-Regular_Approach1,14,4,0,7,14
KQF_Average-Regular_Approach1,4,1,0,7,14
KQF_Average-Regular_Approach1,8,2,0,7,14
KQF_Average-Regular_Approach1,12,3,0,7,14
LAC_Average-Regular_Approach1,14,3,0,5,14
LAC_Average-Regular_Approach1,11,2,0,5,14
LAC_Average-Regular_Approach1,9,1,0,5,14
LBP_Average-Regular_Approach1,16,3,0,7,16
LBP_Average-Regular_Approach1,10,1,0,7,16
LBP_Average-Regular_Approach1,14,2,0,7,16
LZT_Average-Regular_Approach1,20,1,0,8,26
LWC_Average-Regular_Approach1,33,6,0,11,33
LWC_Average-Regular_Approach1,10,1,0,11,33
LWC_Average-Regular_Approach1,19,2,0,11,33
LWC_Average-Regular_Approach1,31,5,0,11,33
LWC_Average-Regular_Approach1,27,3,0,11,33
LWC_Average-Regular_Approach1,29,4,0,11,33
MB_Average-Regular_Approach1,16,3,0,5,16
MB_Average-Regular_Approach1,9,1,0,5,16
MB_Average-Regular_Approach1,13,2,0,5,16
MMK_Average-Regular_Approach1,46,8,0,16,46
MMK_Average-Regular_Approach1,11,1,0,16,46
MMK_Average-Regular_Approach1,39,6,0,16,46
MMK_Average-Regular_Approach1,35,5,0,16,46
MMK_Average-Regular_Approach1,43,7,0,16,46
MMK_Average-Regular_Approach1,19,2,0,16,46
MMK_Average-Regular_Approach1,25,3,0,16,46
MMK_Average-Regular_Approach1,31,4,0,16,46
MNW_Average-Regular_Approach1,49,9,0,14,49
