letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates,all_candidates_y
QLZ_Average-Regular_Approach1,6,2,0,4,8,206,206
QM_Average-Regular_Approach1,12,3,0,6,12,198,198
QM_Average-Regular_Approach1,8,2,0,6,12,198,198
QM_Average-Regular_Approach1,4,1,0,6,12,198,198
QN_Average-Regular_Approach1,12,2,0,4,12,196,196
QN_Average-Regular_Approach1,8,1,0,4,12,196,196
QW_Average-Regular_Approach1,21,4,0,6,21,154,154
QW_Average-Regular_Approach1,9,1,0,6,21,154,154
QW_Average-Regular_Approach1,17,2,0,6,21,154,154
QW_Average-Regular_Approach1,19,3,0,6,21,154,154
QX_Average-Regular_Approach1,7,2,0,3,7,216,216
QX_Average-Regular_Approach1,5,1,0,3,7,216,216
QYH_Average-Regular_Approach1,15,3,0,6,15,306,306
QYH_Average-Regular_Approach1,6,1,0,6,15,306,306
QYH_Average-Regular_Approach1,12,2,0,6,15,306,306
QYR_Average-Regular_Approach1,13,3,0,6,13,258,258
QYR_Average-Regular_Approach1,6,1,0,6,13,258,258
QYR_Average-Regular_Approach1,11,2,0,6,13,258,258
QMP_Average-Regular_Approach1,28,6,0,12,28,266,266
QMP_Average-Regular_Approach1,18,3,0,12,28,266,266
QMP_Average-Regular_Approach1,22,4,0,12,28,266,266
QMP_Average-Regular_Approach1,8,1,0,12,28,266,266
QMP_Average-Regular_Approach1,14,2,0,12,28,266,266
QMP_Average-Regular_Approach1,26,5,0,12,28,266,266
QPV_Average-Regular_Approach1,21,5,0,9,23,242,242
QPV_Average-Regular_Approach1,9,1,0,9,23,242,242
QPV_Average-Regular_Approach1,17,3,0,9,23,242,242
QPV_Average-Regular_Approach1,13,2,0,9,23,242,242
QPV_Average-Regular_Approach1,19,4,0,9,23,242,242
RJ_Average-Regular_Approach1,5,1,0,2,5,170,170
RMJ_Average-Regular_Approach1,21,4,0,8,21,272,272
RMJ_Average-Regular_Approach1,8,1,0,8,21,272,272
RMJ_Average-Regular_Approach1,14,2,0,8,21,272,272
RMJ_Average-Regular_Approach1,18,3,0,8,21,272,272
SF_Average-Regular_Approach1,4,1,0,2,4,150,150
SH_Average-Regular_Approach1,4,1,0,2,4,194,194
SL_Average-Regular_Approach1,4,1,0,2,4,122,122
SNO_Average-Regular_Approach1,24,7,0,13,26,230,230
SNO_Average-Regular_Approach1,8,1,0,13,26,230,230
SNO_Average-Regular_Approach1,12,2,0,13,26,230,230
SNO_Average-Regular_Approach1,18,4,0,13,26,230,230
SNO_Average-Regular_Approach1,20,5,0,13,26,230,230
SNO_Average-Regular_Approach1,22,6,0,13,26,230,230
SNO_Average-Regular_Approach1,16,3,0,13,26,230,230
SOF_Average-Regular_Approach1,15,4,0,8,18,232,232
SOF_Average-Regular_Approach1,5,1,0,8,18,232,232
SOF_Average-Regular_Approach1,9,2,0,8,18,232,232
SOF_Average-Regular_Approach1,13,3,0,8,18,232,232
SOG_Average-Regular_Approach1,10,3,0,6,13,236,236
SOG_Average-Regular_Approach1,4,1,0,6,13,236,236
SOG_Average-Regular_Approach1,8,2,0,6,13,236,236
SOS_Average-Regular_Approach1,27,7,0,13,34,218,218
SOS_Average-Regular_Approach1,8,1,0,13,34,218,218
SOS_Average-Regular_Approach1,20,4,0,13,34,218,218
SOS_Average-Regular_Approach1,16,3,0,13,34,218,218
SOS_Average-Regular_Approach1,12,2,0,13,34,218,218
SOS_Average-Regular_Approach1,23,5,0,13,34,218,218
SOS_Average-Regular_Approach1,25,6,0,13,34,218,218
SVY_Average-Regular_Approach1,17,3,0,6,17,204,204
SVY_Average-Regular_Approach1,8,1,0,6,17,204,204
SVY_Average-Regular_Approach1,13,2,0,6,17,204,204
SYZ_Average-Regular_Approach1,13,3,0,5,13,184,184
SYZ_Average-Regular_Approach1,8,1,0,5,13,184,184
SYZ_Average-Regular_Approach1,11,2,0,5,13,184,184
TA_Average-Regular_Approach1,12,2,0,3,12,164,164
TA_Average-Regular_Approach1,8,1,0,3,12,164,164
TIA_Average-Regular_Approach1,21,4,0,9,21,198,198
TIA_Average-Regular_Approach1,8,1,0,9,21,198,198
TIA_Average-Regular_Approach1,14,2,0,9,21,198,198
TIA_Average-Regular_Approach1,19,3,0,9,21,198,198
TLV_Average-Regular_Approach1,18,3,0,5,18,224,224
TLV_Average-Regular_Approach1,10,1,0,5,18,224,224
TLV_Average-Regular_Approach1,16,2,0,5,18,224,224
SD_Average-Regular_Approach1,4,1,0,2,4,148,148
SDF_Average-Regular_Approach1,8,2,0,4,8,244,244
SDF_Average-Regular_Approach1,4,1,0,4,8,244,244
TRD_Average-Regular_Approach1,5,2,0,2,5,270,270
TRD_Average-Regular_Approach1,3,1,0,2,5,270,270
TS_Average-Regular_Approach1,2,1,0,1,2,164,164
TSM_Average-Regular_Approach1,10,3,0,5,10,242,242
TSM_Average-Regular_Approach1,4,1,0,5,10,242,242
TSM_Average-Regular_Approach1,8,2,0,5,10,242,242
TU_Average-Regular_Approach1,8,2,0,3,8,184,184
TU_Average-Regular_Approach1,6,1,0,3,8,184,184
UA_Average-Regular_Approach1,20,4,0,7,20,186,186
UA_Average-Regular_Approach1,8,1,0,7,20,186,186
UA_Average-Regular_Approach1,16,3,0,7,20,186,186
UA_Average-Regular_Approach1,12,2,0,7,20,186,186
UAV_Average-Regular_Approach1,27,4,0,7,27,256,256
UAV_Average-Regular_Approach1,10,1,0,7,27,256,256
UAV_Average-Regular_Approach1,18,2,0,7,27,256,256
UAV_Average-Regular_Approach1,23,3,0,7,27,256,256
UIN_Average-Regular_Approach1,12,2,0,5,16,222,222
UIN_Average-Regular_Approach1,8,1,0,5,16,222,222
UJ_Average-Regular_Approach1,16,3,0,6,16,166,166
UJ_Average-Regular_Approach1,10,1,0,6,16,166,166
UJ_Average-Regular_Approach1,14,2,0,6,16,166,166
UNY_Average-Regular_Approach1,21,3,0,7,23,276,276
UNY_Average-Regular_Approach1,10,1,0,7,23,276,276
UNY_Average-Regular_Approach1,17,2,0,7,23,276,276
UP_Average-Regular_Approach1,4,1,0,2,4,176,176
UPJ_Average-Regular_Approach1,8,2,0,3,8,224,224
UPJ_Average-Regular_Approach1,6,1,0,3,8,224,224
VNM_Average-Regular_Approach1,35,5,0,12,39,272,272
VNM_Average-Regular_Approach1,11,1,0,12,39,272,272
VNM_Average-Regular_Approach1,27,3,0,12,39,272,272
VNM_Average-Regular_Approach1,21,2,0,12,39,272,272
VNM_Average-Regular_Approach1,33,4,0,12,39,272,272
VQ_Average-Regular_Approach1,13,3,0,4,13,156,156
VQ_Average-Regular_Approach1,9,1,0,4,13,156,156
VQ_Average-Regular_Approach1,11,2,0,4,13,156,156
VUJ_Average-Regular_Approach1,34,6,0,11,34,226,226
VUJ_Average-Regular_Approach1,10,1,0,11,34,226,226
VUJ_Average-Regular_Approach1,20,2,0,11,34,226,226
VUJ_Average-Regular_Approach1,30,4,0,11,34,226,226
VUJ_Average-Regular_Approach1,26,3,0,11,34,226,226
VUJ_Average-Regular_Approach1,32,5,0,11,34,226,226
WD_Average-Regular_Approach1,29,7,0,9,29,178,178
WD_Average-Regular_Approach1,21,3,0,9,29,178,178
WD_Average-Regular_Approach1,17,2,0,9,29,178,178
WD_Average-Regular_Approach1,9,1,0,9,29,178,178
WD_Average-Regular_Approach1,25,5,0,9,29,178,178
WD_Average-Regular_Approach1,23,4,0,9,29,178,178
WD_Average-Regular_Approach1,27,6,0,9,29,178,178
WF_Average-Regular_Approach1,33,7,0,11,33,184,184
WF_Average-Regular_Approach1,29,5,0,11,33,184,184
WF_Average-Regular_Approach1,25,3,0,11,33,184,184
WF_Average-Regular_Approach1,9,1,0,11,33,184,184
WF_Average-Regular_Approach1,17,2,0,11,33,184,184
WF_Average-Regular_Approach1,27,4,0,11,33,184,184
WF_Average-Regular_Approach1,31,6,0,11,33,184,184
WFD_Average-Regular_Approach1,39,8,0,12,39,274,274
WFD_Average-Regular_Approach1,9,1,0,12,39,274,274
WFD_Average-Regular_Approach1,17,2,0,12,39,274,274
WFD_Average-Regular_Approach1,23,3,0,12,39,274,274
WFD_Average-Regular_Approach1,32,5,0,12,39,274,274
WFD_Average-Regular_Approach1,29,4,0,12,39,274,274
WFD_Average-Regular_Approach1,35,6,0,12,39,274,274
WFD_Average-Regular_Approach1,37,7,0,12,39,274,274
WG_Average-Regular_Approach1,20,4,0,6,20,178,178
WG_Average-Regular_Approach1,8,1,0,6,20,178,178
WG_Average-Regular_Approach1,18,3,0,6,20,178,178
WG_Average-Regular_Approach1,16,2,0,6,20,178,178
WI_Average-Regular_Approach1,29,6,0,9,29,144,144
WI_Average-Regular_Approach1,9,1,0,9,29,144,144
WI_Average-Regular_Approach1,17,2,0,9,29,144,144
WI_Average-Regular_Approach1,27,5,0,9,29,144,144
WI_Average-Regular_Approach1,25,4,0,9,29,144,144
WI_Average-Regular_Approach1,23,3,0,9,29,144,144
WJ_Average-Regular_Approach1,38,7,0,13,38,144,144
WJ_Average-Regular_Approach1,20,2,0,13,38,144,144
WJ_Average-Regular_Approach1,12,1,0,13,38,144,144
WJ_Average-Regular_Approach1,25,3,0,13,38,144,144
WJ_Average-Regular_Approach1,36,6,0,13,38,144,144
WJ_Average-Regular_Approach1,32,5,0,13,38,144,144
WJ_Average-Regular_Approach1,30,4,0,13,38,144,144
WM_Average-Regular_Approach1,37,7,0,12,37,194,194
WM_Average-Regular_Approach1,25,3,0,12,37,194,194
WM_Average-Regular_Approach1,10,1,0,12,37,194,194
WM_Average-Regular_Approach1,18,2,0,12,37,194,194
WM_Average-Regular_Approach1,29,4,0,12,37,194,194
WM_Average-Regular_Approach1,35,6,0,12,37,194,194
WM_Average-Regular_Approach1,33,5,0,12,37,194,194
WP_Average-Regular_Approach1,32,7,0,10,32,166,166
WP_Average-Regular_Approach1,18,2,0,10,32,166,166
WP_Average-Regular_Approach1,10,1,0,10,32,166,166
WP_Average-Regular_Approach1,26,4,0,10,32,166,166
WP_Average-Regular_Approach1,28,5,0,10,32,166,166
WP_Average-Regular_Approach1,24,3,0,10,32,166,166
WP_Average-Regular_Approach1,30,6,0,10,32,166,166
WPG_Average-Regular_Approach1,32,7,0,10,32,254,254
WPG_Average-Regular_Approach1,10,1,0,10,32,254,254
WPG_Average-Regular_Approach1,24,3,0,10,32,254,254
WPG_Average-Regular_Approach1,18,2,0,10,32,254,254
WPG_Average-Regular_Approach1,28,5,0,10,32,254,254
WPG_Average-Regular_Approach1,30,6,0,10,32,254,254
WPG_Average-Regular_Approach1,26,4,0,10,32,254,254
WQ_Average-Regular_Approach1,24,6,0,8,24,170,170
WQ_Average-Regular_Approach1,8,1,0,8,24,170,170
WQ_Average-Regular_Approach1,20,4,0,8,24,170,170
WQ_Average-Regular_Approach1,22,5,0,8,24,170,170
WQ_Average-Regular_Approach1,18,3,0,8,24,170,170
WQ_Average-Regular_Approach1,16,2,0,8,24,170,170
WW_Average-Regular_Approach1,41,8,0,12,41,154,154
WW_Average-Regular_Approach1,9,1,0,12,41,154,154
WW_Average-Regular_Approach1,17,2,0,12,41,154,154
WW_Average-Regular_Approach1,25,3,0,12,41,154,154
WW_Average-Regular_Approach1,35,5,0,12,41,154,154
WW_Average-Regular_Approach1,37,6,0,12,41,154,154
WW_Average-Regular_Approach1,39,7,0,12,41,154,154
WW_Average-Regular_Approach1,33,4,0,12,41,154,154
WWA_Average-Regular_Approach1,53,11,0,15,53,230,230
WWA_Average-Regular_Approach1,9,1,0,15,53,230,230
WWA_Average-Regular_Approach1,17,2,0,15,53,230,230
WWA_Average-Regular_Approach1,25,3,0,15,53,230,230
WWA_Average-Regular_Approach1,45,7,0,15,53,230,230
WWA_Average-Regular_Approach1,37,5,0,15,53,230,230
WWA_Average-Regular_Approach1,41,6,0,15,53,230,230
WWA_Average-Regular_Approach1,33,4,0,15,53,230,230
WWA_Average-Regular_Approach1,47,8,0,15,53,230,230
WWA_Average-Regular_Approach1,49,9,0,15,53,230,230
WWA_Average-Regular_Approach1,51,10,0,15,53,230,230
XBL_Average-Regular_Approach1,34,7,0,13,34,280,280
XBL_Average-Regular_Approach1,16,2,0,13,34,280,280
XBL_Average-Regular_Approach1,10,1,0,13,34,280,280
XBL_Average-Regular_Approach1,21,3,0,13,34,280,280
XBL_Average-Regular_Approach1,25,4,0,13,34,280,280
XBL_Average-Regular_Approach1,32,6,0,13,34,280,280
XBL_Average-Regular_Approach1,29,5,0,13,34,280,280
XGU_Average-Regular_Approach1,10,2,0,3,10,300,300
XGU_Average-Regular_Approach1,8,1,0,3,10,300,300
XIT_Average-Regular_Approach1,31,5,0,10,31,262,262
XIT_Average-Regular_Approach1,16,2,0,10,31,262,262
XIT_Average-Regular_Approach1,9,1,0,10,31,262,262
XIT_Average-Regular_Approach1,22,3,0,10,31,262,262
XIT_Average-Regular_Approach1,27,4,0,10,31,262,262
XJ_Average-Regular_Approach1,24,4,0,8,24,178,178
XJ_Average-Regular_Approach1,13,1,0,8,24,178,178
XJ_Average-Regular_Approach1,18,2,0,8,24,178,178
XJ_Average-Regular_Approach1,21,3,0,8,24,178,178
XL_Average-Regular_Approach1,34,6,0,11,34,188,188
XL_Average-Regular_Approach1,12,1,0,11,34,188,188
XL_Average-Regular_Approach1,23,3,0,11,34,188,188
XL_Average-Regular_Approach1,18,2,0,11,34,188,188
XL_Average-Regular_Approach1,31,5,0,11,34,188,188
XL_Average-Regular_Approach1,28,4,0,11,34,188,188
XMA_Average-Regular_Approach1,41,7,0,14,41,282,282
XMA_Average-Regular_Approach1,9,1,0,14,41,282,282
XMA_Average-Regular_Approach1,17,2,0,14,41,282,282
XMA_Average-Regular_Approach1,38,6,0,14,41,282,282
XMA_Average-Regular_Approach1,25,3,0,14,41,282,282
XMA_Average-Regular_Approach1,30,4,0,14,41,282,282
XMA_Average-Regular_Approach1,34,5,0,14,41,282,282
XP_Average-Regular_Approach1,34,6,0,11,34,204,204
XP_Average-Regular_Approach1,12,1,0,11,34,204,204
XP_Average-Regular_Approach1,23,3,0,11,34,204,204
XP_Average-Regular_Approach1,18,2,0,11,34,204,204
XP_Average-Regular_Approach1,28,4,0,11,34,204,204
XP_Average-Regular_Approach1,32,5,0,11,34,204,204
XRT_Average-Regular_Approach1,33,6,0,11,33,298,298
XRT_Average-Regular_Approach1,9,1,0,11,33,298,298
XRT_Average-Regular_Approach1,28,4,0,11,33,298,298
XRT_Average-Regular_Approach1,17,2,0,11,33,298,298
XRT_Average-Regular_Approach1,23,3,0,11,33,298,298
XRT_Average-Regular_Approach1,31,5,0,11,33,298,298
XT_Average-Regular_Approach1,9,1,0,2,9,210,210
XWI_Average-Regular_Approach1,37,6,0,10,37,256,256
XWI_Average-Regular_Approach1,10,1,0,10,37,256,256
XWI_Average-Regular_Approach1,19,2,0,10,37,256,256
XWI_Average-Regular_Approach1,27,3,0,10,37,256,256
XWI_Average-Regular_Approach1,35,5,0,10,37,256,256
XWI_Average-Regular_Approach1,33,4,0,10,37,256,256
XXW_Average-Regular_Approach1,38,7,0,12,38,302,302
XXW_Average-Regular_Approach1,17,2,0,12,38,302,302
XXW_Average-Regular_Approach1,9,1,0,12,38,302,302
XXW_Average-Regular_Approach1,25,3,0,12,38,302,302
XXW_Average-Regular_Approach1,34,5,0,12,38,302,302
XXW_Average-Regular_Approach1,36,6,0,12,38,302,302
XXW_Average-Regular_Approach1,31,4,0,12,38,302,302
YDH_Average-Regular_Approach1,17,4,0,6,17,324,324
YDH_Average-Regular_Approach1,8,1,0,6,17,324,324
YDH_Average-Regular_Approach1,13,2,0,6,17,324,324
YDH_Average-Regular_Approach1,15,3,0,6,17,324,324
YUT_Average-Regular_Approach1,16,3,0,6,16,264,264
YUT_Average-Regular_Approach1,6,1,0,6,16,264,264
YUT_Average-Regular_Approach1,11,2,0,6,16,264,264
YXW_Average-Regular_Approach1,39,7,0,12,39,278,278
YXW_Average-Regular_Approach1,18,2,0,12,39,278,278
YXW_Average-Regular_Approach1,26,3,0,12,39,278,278
YXW_Average-Regular_Approach1,9,1,0,12,39,278,278
YXW_Average-Regular_Approach1,31,4,0,12,39,278,278
YXW_Average-Regular_Approach1,35,5,0,12,39,278,278
YXW_Average-Regular_Approach1,37,6,0,12,39,278,278
ZCI_Average-Regular_Approach1,10,3,0,6,12,156,156
ZCI_Average-Regular_Approach1,4,1,0,6,12,156,156
ZCI_Average-Regular_Approach1,8,2,0,6,12,156,156
ZGC_Average-Regular_Approach1,16,5,0,8,16,208,208
ZGC_Average-Regular_Approach1,8,2,0,8,16,208,208
ZGC_Average-Regular_Approach1,12,3,0,8,16,208,208
ZGC_Average-Regular_Approach1,4,1,0,8,16,208,208
ZGC_Average-Regular_Approach1,14,4,0,8,16,208,208
ZJY_Average-Regular_Approach1,30,6,0,10,30,176,176
ZJY_Average-Regular_Approach1,8,1,0,10,30,176,176
ZJY_Average-Regular_Approach1,20,3,0,10,30,176,176
ZJY_Average-Regular_Approach1,27,5,0,10,30,176,176
ZJY_Average-Regular_Approach1,15,2,0,10,30,176,176
ZJY_Average-Regular_Approach1,24,4,0,10,30,176,176
ZOZ_Average-Regular_Approach1,15,4,0,7,15,166,166
ZOZ_Average-Regular_Approach1,5,1,0,7,15,166,166
ZOZ_Average-Regular_Approach1,9,2,0,7,15,166,166
ZOZ_Average-Regular_Approach1,13,3,0,7,15,166,166
ZSM_Average-Regular_Approach1,14,3,0,7,14,204,204
ZSM_Average-Regular_Approach1,6,1,0,7,14,204,204
ZSM_Average-Regular_Approach1,10,2,0,7,14,204,204
A_arial_Approach1,6,2,0,3,6,34,34
A_arial_Approach1,4,1,0,3,6,34,34
ACI_arial_Approach1,38,9,0,16,40,112,112
ACI_arial_Approach1,11,1,0,16,40,112,112
ACI_arial_Approach1,19,2,0,16,40,112,112
ACI_arial_Approach1,30,5,0,16,40,112,112
ACI_arial_Approach1,32,6,0,16,40,112,112
ACI_arial_Approach1,36,8,0,16,40,112,112
ACI_arial_Approach1,27,4,0,16,40,112,112
ACI_arial_Approach1,24,3,0,16,40,112,112
ACI_arial_Approach1,34,7,0,16,40,112,112
AEJ_arial_Approach1,18,6,0,9,18,96,96
AEJ_arial_Approach1,8,2,0,9,18,96,96
AEJ_arial_Approach1,4,1,0,9,18,96,96
AEJ_arial_Approach1,14,4,0,9,18,96,96
AEJ_arial_Approach1,12,3,0,9,18,96,96
AEJ_arial_Approach1,16,5,0,9,18,96,96
AEY_arial_Approach1,14,4,0,7,14,94,94
AEY_arial_Approach1,4,1,0,7,14,94,94
AEY_arial_Approach1,8,2,0,7,14,94,94
AEY_arial_Approach1,12,3,0,7,14,94,94
AJD_arial_Approach1,12,4,0,7,14,122,122
AJD_arial_Approach1,4,1,0,7,14,122,122
AJD_arial_Approach1,8,2,0,7,14,122,122
AJD_arial_Approach1,10,3,0,7,14,122,122
AKV_arial_Approach1,18,5,0,9,18,90,90
AKV_arial_Approach1,4,1,0,9,18,90,90
AKV_arial_Approach1,8,2,0,9,18,90,90
AKV_arial_Approach1,12,3,0,9,18,90,90
AKV_arial_Approach1,16,4,0,9,18,90,90
ANC_arial_Approach1,28,9,0,13,28,116,116
ANC_arial_Approach1,6,1,0,13,28,116,116
ANC_arial_Approach1,10,2,0,13,28,116,116
ANC_arial_Approach1,14,3,0,13,28,116,116
ANC_arial_Approach1,20,5,0,13,28,116,116
ANC_arial_Approach1,22,6,0,13,28,116,116
ANC_arial_Approach1,26,8,0,13,28,116,116
ANC_arial_Approach1,18,4,0,13,28,116,116
ANC_arial_Approach1,24,7,0,13,28,116,116
AOQ_arial_Approach1,28,5,0,12,30,184,184
AOQ_arial_Approach1,11,1,0,12,30,184,184
AOQ_arial_Approach1,19,2,0,12,30,184,184
AOQ_arial_Approach1,24,3,0,12,30,184,184
AOQ_arial_Approach1,26,4,0,12,30,184,184
ARV_arial_Approach1,14,4,0,7,14,134,134
ARV_arial_Approach1,4,1,0,7,14,134,134
ARV_arial_Approach1,8,2,0,7,14,134,134
ARV_arial_Approach1,12,3,0,7,14,134,134
AW_arial_Approach1,22,4,0,7,22,86,86
AW_arial_Approach1,8,1,0,7,22,86,86
AW_arial_Approach1,16,2,0,7,22,86,86
AW_arial_Approach1,20,3,0,7,22,86,86
AX_arial_Approach1,18,4,0,7,18,80,80
AX_arial_Approach1,8,1,0,7,18,80,80
AX_arial_Approach1,12,2,0,7,18,80,80
AX_arial_Approach1,16,3,0,7,18,80,80
AXF_arial_Approach1,26,5,0,9,26,106,106
AXF_arial_Approach1,8,1,0,9,26,106,106
AXF_arial_Approach1,16,2,0,9,26,106,106
AXF_arial_Approach1,20,3,0,9,26,106,106
AXF_arial_Approach1,24,4,0,9,26,106,106
AZ_arial_Approach1,18,4,0,8,21,66,66
AZ_arial_Approach1,6,1,0,8,21,66,66
AZ_arial_Approach1,10,2,0,8,21,66,66
AZ_arial_Approach1,14,3,0,8,21,66,66
AZH_arial_Approach1,21,5,0,10,24,100,100
AZH_arial_Approach1,8,1,0,10,24,100,100
AZH_arial_Approach1,12,2,0,10,24,100,100
AZH_arial_Approach1,16,3,0,10,24,100,100
AZH_arial_Approach1,19,4,0,10,24,100,100
AT_arial_Approach1,6,2,0,3,6,52,52
AT_arial_Approach1,4,1,0,3,6,52,52
AJQ_arial_Approach1,33,8,0,15,35,162,162
AJQ_arial_Approach1,12,1,0,15,35,162,162
AJQ_arial_Approach1,16,2,0,15,35,162,162
AJQ_arial_Approach1,27,5,0,15,35,162,162
AJQ_arial_Approach1,20,3,0,15,35,162,162
AJQ_arial_Approach1,31,7,0,15,35,162,162
AJQ_arial_Approach1,24,4,0,15,35,162,162
AJQ_arial_Approach1,29,6,0,15,35,162,162
BEV_arial_Approach1,15,3,0,7,20,132,132
BEV_arial_Approach1,11,1,0,7,20,132,132
BEV_arial_Approach1,13,2,0,7,20,132,132
BKQ_arial_Approach1,25,9,0,13,29,194,194
BKQ_arial_Approach1,10,2,0,13,29,194,194
BKQ_arial_Approach1,5,1,0,13,29,194,194
BKQ_arial_Approach1,13,3,0,13,29,194,194
BKQ_arial_Approach1,19,6,0,13,29,194,194
BKQ_arial_Approach1,15,4,0,13,29,194,194
BKQ_arial_Approach1,23,8,0,13,29,194,194
BKQ_arial_Approach1,17,5,0,13,29,194,194
BKQ_arial_Approach1,21,7,0,13,29,194,194
BLC_arial_Approach1,29,6,0,13,33,156,156
BLC_arial_Approach1,13,1,0,13,33,156,156
BLC_arial_Approach1,27,5,0,13,33,156,156
BLC_arial_Approach1,25,4,0,13,33,156,156
BLC_arial_Approach1,23,3,0,13,33,156,156
BLC_arial_Approach1,21,2,0,13,33,156,156
BO_arial_Approach1,12,4,0,7,19,142,142
BO_arial_Approach1,6,1,0,7,19,142,142
BO_arial_Approach1,8,2,0,7,19,142,142
BO_arial_Approach1,10,3,0,7,19,142,142
BTM_arial_Approach1,17,3,0,5,17,142,142
BTM_arial_Approach1,10,1,0,5,17,142,142
BTM_arial_Approach1,15,2,0,5,17,142,142
BVD_arial_Approach1,12,4,0,5,12,176,176
BVD_arial_Approach1,6,1,0,5,12,176,176
BVD_arial_Approach1,10,3,0,5,12,176,176
BVD_arial_Approach1,8,2,0,5,12,176,176
BOC_arial_Approach1,22,8,0,13,33,194,194
BOC_arial_Approach1,6,1,0,13,33,194,194
BOC_arial_Approach1,12,3,0,13,33,194,194
BOC_arial_Approach1,14,4,0,13,33,194,194
BOC_arial_Approach1,16,5,0,13,33,194,194
BOC_arial_Approach1,20,7,0,13,33,194,194
BOC_arial_Approach1,9,2,0,13,33,194,194
BOC_arial_Approach1,18,6,0,13,33,194,194
CBS_arial_Approach1,53,11,0,24,62,242,242
CBS_arial_Approach1,31,4,0,24,62,242,242
CBS_arial_Approach1,13,1,0,24,62,242,242
CBS_arial_Approach1,39,6,0,24,62,242,242
CBS_arial_Approach1,46,8,0,24,62,242,242
CBS_arial_Approach1,26,3,0,24,62,242,242
CBS_arial_Approach1,21,2,0,24,62,242,242
CBS_arial_Approach1,49,9,0,24,62,242,242
CBS_arial_Approach1,35,5,0,24,62,242,242
CBS_arial_Approach1,51,10,0,24,62,242,242
CBS_arial_Approach1,43,7,0,24,62,242,242
CGY_arial_Approach1,8,2,0,4,8,160,160
CGY_arial_Approach1,4,1,0,4,8,160,160
CIO_arial_Approach1,23,6,0,10,27,136,136
CIO_arial_Approach1,9,1,0,10,27,136,136
CIO_arial_Approach1,13,2,0,10,27,136,136
CIO_arial_Approach1,16,3,0,10,27,136,136
CIO_arial_Approach1,21,5,0,10,27,136,136
CIO_arial_Approach1,19,4,0,10,27,136,136
COP_arial_Approach1,19,4,0,8,23,178,178
COP_arial_Approach1,9,1,0,8,23,178,178
COP_arial_Approach1,13,2,0,8,23,178,178
COP_arial_Approach1,16,3,0,8,23,178,178
CRK_arial_Approach1,45,11,0,19,50,172,172
CRK_arial_Approach1,15,2,0,19,50,172,172
CRK_arial_Approach1,35,7,0,19,50,172,172
CRK_arial_Approach1,38,8,0,19,50,172,172
CRK_arial_Approach1,10,1,0,19,50,172,172
CRK_arial_Approach1,41,9,0,19,50,172,172
CRK_arial_Approach1,20,3,0,19,50,172,172
CRK_arial_Approach1,28,5,0,19,50,172,172
CRK_arial_Approach1,24,4,0,19,50,172,172
CRK_arial_Approach1,43,10,0,19,50,172,172
CRK_arial_Approach1,32,6,0,19,50,172,172
CU_arial_Approach1,17,6,0,7,19,106,106
CU_arial_Approach1,4,1,0,7,19,106,106
CU_arial_Approach1,10,3,0,7,19,106,106
CU_arial_Approach1,7,2,0,7,19,106,106
CU_arial_Approach1,15,5,0,7,19,106,106
CU_arial_Approach1,13,4,0,7,19,106,106
CUH_arial_Approach1,17,6,0,7,19,128,128
CUH_arial_Approach1,4,1,0,7,19,128,128
CUH_arial_Approach1,10,3,0,7,19,128,128
CUH_arial_Approach1,7,2,0,7,19,128,128
CUH_arial_Approach1,13,4,0,7,19,128,128
CUH_arial_Approach1,15,5,0,7,19,128,128
CV_arial_Approach1,16,5,0,7,16,90,90
CV_arial_Approach1,9,1,0,7,16,90,90
CV_arial_Approach1,14,3,0,7,16,90,90
CV_arial_Approach1,12,2,0,7,16,90,90
CWC_arial_Approach1,37,8,0,13,37,180,180
CWC_arial_Approach1,9,1,0,13,37,180,180
CWC_arial_Approach1,23,3,0,13,37,180,180
CWC_arial_Approach1,18,2,0,13,37,180,180
CWC_arial_Approach1,28,4,0,13,37,180,180
CWC_arial_Approach1,31,5,0,13,37,180,180
CWC_arial_Approach1,35,7,0,13,37,180,180
CWC_arial_Approach1,33,6,0,13,37,180,180
CXS_arial_Approach1,16,4,0,8,16,206,206
CXS_arial_Approach1,4,1,0,8,16,206,206
CXS_arial_Approach1,12,3,0,8,16,206,206
CXS_arial_Approach1,8,2,0,8,16,206,206
CVG_arial_Approach1,14,3,0,7,16,168,168
CVG_arial_Approach1,9,1,0,7,16,168,168
CVG_arial_Approach1,12,2,0,7,16,168,168
DAQ_arial_Approach1,37,5,0,13,39,176,176
DAQ_arial_Approach1,12,1,0,13,39,176,176
DAQ_arial_Approach1,24,2,0,13,39,176,176
DAQ_arial_Approach1,33,4,0,13,39,176,176
DAQ_arial_Approach1,29,3,0,13,39,176,176
DCJ_arial_Approach1,22,8,0,10,22,162,162
DCJ_arial_Approach1,8,2,0,10,22,162,162
DCJ_arial_Approach1,14,4,0,10,22,162,162
DCJ_arial_Approach1,4,1,0,10,22,162,162
DCJ_arial_Approach1,18,6,0,10,22,162,162
DCJ_arial_Approach1,16,5,0,10,22,162,162
DCJ_arial_Approach1,11,3,0,10,22,162,162
DCJ_arial_Approach1,20,7,0,10,22,162,162
DGC_arial_Approach1,18,6,0,9,21,194,194
DGC_arial_Approach1,6,1,0,9,21,194,194
DGC_arial_Approach1,10,2,0,9,21,194,194
