letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates,all_candidates_y
BVD_Average-Regular_Approach1,21,3,0,7,21,274,274
BVD_Average-Regular_Approach1,11,1,0,7,21,274,274
BVD_Average-Regular_Approach1,19,2,0,7,21,274,274
BOC_Average-Regular_Approach1,12,4,0,6,14,242,242
BOC_Average-Regular_Approach1,7,2,0,6,14,242,242
BOC_Average-Regular_Approach1,4,1,0,6,14,242,242
BOC_Average-Regular_Approach1,10,3,0,6,14,242,242
CBS_Average-Regular_Approach1,40,7,0,17,40,242,242
CBS_Average-Regular_Approach1,11,1,0,17,40,242,242
CBS_Average-Regular_Approach1,26,3,0,17,40,242,242
CBS_Average-Regular_Approach1,19,2,0,17,40,242,242
CBS_Average-Regular_Approach1,38,6,0,17,40,242,242
CBS_Average-Regular_Approach1,30,4,0,17,40,242,242
CBS_Average-Regular_Approach1,34,5,0,17,40,242,242
CGY_Average-Regular_Approach1,16,3,0,6,16,240,240
CGY_Average-Regular_Approach1,7,1,0,6,16,240,240
CGY_Average-Regular_Approach1,12,2,0,6,16,240,240
CIO_Average-Regular_Approach1,19,4,0,7,19,160,160
CIO_Average-Regular_Approach1,13,1,0,7,19,160,160
CIO_Average-Regular_Approach1,17,3,0,7,19,160,160
CIO_Average-Regular_Approach1,15,2,0,7,19,160,160
COP_Average-Regular_Approach1,13,3,0,6,15,214,214
COP_Average-Regular_Approach1,7,1,0,6,15,214,214
COP_Average-Regular_Approach1,11,2,0,6,15,214,214
CRK_Average-Regular_Approach1,20,5,0,9,20,242,242
CRK_Average-Regular_Approach1,8,1,0,9,20,242,242
CRK_Average-Regular_Approach1,14,2,0,9,20,242,242
CRK_Average-Regular_Approach1,16,3,0,9,20,242,242
CRK_Average-Regular_Approach1,18,4,0,9,20,242,242
CU_Average-Regular_Approach1,12,2,0,3,12,158,158
CU_Average-Regular_Approach1,10,1,0,3,12,158,158
CUH_Average-Regular_Approach1,12,2,0,3,12,290,290
CUH_Average-Regular_Approach1,10,1,0,3,12,290,290
CV_Average-Regular_Approach1,19,3,0,6,19,118,118
CV_Average-Regular_Approach1,12,1,0,6,19,118,118
CV_Average-Regular_Approach1,17,2,0,6,19,118,118
CWC_Average-Regular_Approach1,38,9,0,16,38,196,196
CWC_Average-Regular_Approach1,22,3,0,16,38,196,196
CWC_Average-Regular_Approach1,8,1,0,16,38,196,196
CWC_Average-Regular_Approach1,16,2,0,16,38,196,196
CWC_Average-Regular_Approach1,34,7,0,16,38,196,196
CWC_Average-Regular_Approach1,30,5,0,16,38,196,196
CWC_Average-Regular_Approach1,28,4,0,16,38,196,196
CWC_Average-Regular_Approach1,36,8,0,16,38,196,196
CWC_Average-Regular_Approach1,32,6,0,16,38,196,196
CXS_Average-Regular_Approach1,19,3,0,6,19,210,210
CXS_Average-Regular_Approach1,11,1,0,6,19,210,210
CXS_Average-Regular_Approach1,16,2,0,6,19,210,210
CVG_Average-Regular_Approach1,14,3,0,5,14,212,212
CVG_Average-Regular_Approach1,8,1,0,5,14,212,212
CVG_Average-Regular_Approach1,12,2,0,5,14,212,212
DAQ_Average-Regular_Approach1,34,7,0,15,34,266,266
DAQ_Average-Regular_Approach1,12,1,0,15,34,266,266
DAQ_Average-Regular_Approach1,26,4,0,15,34,266,266
DAQ_Average-Regular_Approach1,22,3,0,15,34,266,266
DAQ_Average-Regular_Approach1,18,2,0,15,34,266,266
DAQ_Average-Regular_Approach1,32,6,0,15,34,266,266
DAQ_Average-Regular_Approach1,30,5,0,15,34,266,266
DCJ_Average-Regular_Approach1,20,4,0,9,20,214,214
DCJ_Average-Regular_Approach1,10,1,0,9,20,214,214
DCJ_Average-Regular_Approach1,16,2,0,9,20,214,214
DCJ_Average-Regular_Approach1,18,3,0,9,20,214,214
DGC_Average-Regular_Approach1,16,5,0,9,20,250,250
DGC_Average-Regular_Approach1,8,2,0,9,20,250,250
