letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates_x,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
A_Average-Regular_Approach1,4,1,0,2,4,18.0,36,2.0,4.90689059560852,3.09892956369093,186,0.5,0.7,1.0,0.2,Approach1,LSP
ACI_Average-Regular_Approach1,5,1,0,2,5,43.5,87,2.06896551724138,5.90689059560852,3.10384235936738,388,0.6,0.9,1.0,0.4,Approach1,LSP
AEJ_Average-Regular_Approach1,4,1,0,2,4,55.0,110,2.02816901408451,6.16992500144232,3.22360559539811,545,0.6,0.9,1.0,0.5,Approach1,LSP
AEY_Average-Regular_Approach1,4,1,0,2,4,64.0,128,2.02247191011236,6.49185309632966,3.20351732393453,601,0.6,1.0,1.0,0.6,Approach1,LSP
AJD_Average-Regular_Approach1,4,1,0,2,4,55.0,110,2.03076923076923,6.04439411935846,3.1680084559619,398,0.6,0.9,1.0,0.4,Approach1,LSP
AKV_Average-Regular_Approach1,14,3,0,6,14,57.5,115,2.0,6.58496250072116,3.23120853112905,590,0.5,1.0,1.0,0.6,Approach1,LSP
AKV_Average-Regular_Approach1,8,1,0,6,14,57.5,115,2.0,6.58496250072116,3.23120853112905,590,0.5,1.0,1.0,0.6,Approach1,LSP
AKV_Average-Regular_Approach1,12,2,0,6,14,57.5,115,2.0,6.58496250072116,3.23120853112905,590,0.5,1.0,1.0,0.6,Approach1,LSP
ANC_Average-Regular_Approach1,15,3,0,6,15,60.0,120,2.02040816326531,6.62935662007962,3.19313480822017,746,0.6,1.0,1.0,0.7,Approach1,LSP
ANC_Average-Regular_Approach1,6,1,0,6,15,60.0,120,2.02040816326531,6.62935662007962,3.19313480822017,746,0.6,1.0,1.0,0.7,Approach1,LSP
ANC_Average-Regular_Approach1,11,2,0,6,15,60.0,120,2.02040816326531,6.62935662007962,3.19313480822017,746,0.6,1.0,1.0,0.7,Approach1,LSP
ARV_Average-Regular_Approach1,8,2,0,4,8,59.5,119,2.02272727272727,6.47573343096641,3.23581789314426,544,0.6,1.0,1.0,0.5,Approach1,LSP
ARV_Average-Regular_Approach1,4,1,0,4,8,59.5,119,2.02272727272727,6.47573343096641,3.23581789314426,544,0.6,1.0,1.0,0.5,Approach1,LSP
AW_Average-Regular_Approach1,20,3,0,6,20,38.5,77,2.0,6.10852445677816,3.18110031780534,385,0.5,0.9,1.0,0.4,Approach1,LSP
AW_Average-Regular_Approach1,10,1,0,6,20,38.5,77,2.0,6.10852445677816,3.18110031780534,385,0.5,0.9,1.0,0.4,Approach1,LSP
