letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates_x,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
ND_Average-Regular_Approach1,4,1,0,2,4,45.5,91,2.0,6.47573343096641,3.09392455119225,509,0.5,1.0,1.0,0.5,Approach1,LSP
NJY_Average-Regular_Approach1,4,1,0,2,4,64.0,128,2.0,6.39231742277876,3.21825851152016,637,0.5,0.9,1.0,0.6,Approach1,LSP
NPP_Average-Regular_Approach1,4,1,0,2,4,64.0,128,2.03508771929825,6.85798099512756,3.13601927926185,780,0.6,1.0,1.0,0.7,Approach1,LSP
NWF_Average-Regular_Approach1,8,2,0,4,8,69.0,138,1.98165137614679,6.75488750216346,3.23168755794901,714,0.5,1.0,1.0,0.7,Approach1,LSP
NWF_Average-Regular_Approach1,4,1,0,4,8,69.0,138,1.98165137614679,6.75488750216346,3.23168755794901,714,0.5,1.0,1.0,0.7,Approach1,LSP
NWW_Average-Regular_Approach1,16,4,0,8,16,61.5,123,1.98214285714286,6.79441586635012,3.23153578639523,722,0.5,1.0,1.0,0.7,Approach1,LSP
NWW_Average-Regular_Approach1,4,1,0,8,16,61.5,123,1.98214285714286,6.79441586635012,3.23153578639523,722,0.5,1.0,1.0,0.7,Approach1,LSP
NWW_Average-Regular_Approach1,8,2,0,8,16,61.5,123,1.98214285714286,6.79441586635012,3.23153578639523,722,0.5,1.0,1.0,0.7,Approach1,LSP
NWW_Average-Regular_Approach1,12,3,0,8,16,61.5,123,1.98214285714286,6.79441586635012,3.23153578639523,722,0.5,1.0,1.0,0.7,Approach1,LSP
OGW_Average-Regular_Approach1,8,2,0,4,8,51.5,103,2.02666666666667,6.24792751344359,3.12821373028082,463,0.6,0.9,1.0,0.5,Approach1,LSP
OGW_Average-Regular_Approach1,4,1,0,4,8,51.5,103,2.02666666666667,6.24792751344359,3.12821373028082,463,0.6,0.9,1.0,0.5,Approach1,LSP
OMJ_Average-Regular_Approach1,2,1,0,1,2,54.5,109,2.02816901408451,6.16992500144232,3.15658039372804,571,0.6,0.9,1.0,0.5,Approach1,LSP
OPN_Average-Regular_Approach1,4,1,0,2,4,59.5,119,2.02816901408451,6.16992500144232,3.19444079720214,587,0.6,0.9,1.0,0.6,Approach1,LSP
PJW_Average-Regular_Approach1,8,2,0,4,8,52.5,105,2.0,6.22881869049589,3.20246026791002,487,0.5,0.9,1.0,0.5,Approach1,LSP
PJW_Average-Regular_Approach1,4,1,0,4,8,52.5,105,2.0,6.22881869049589,3.20246026791002,487,0.5,0.9,1.0,0.5,Approach1,LSP
PQW_Average-Regular_Approach1,8,2,0,4,8,57.5,115,2.02247191011236,6.49185309632966,3.13645211766145,626,0.6,1.0,1.0,0.6,Approach1,LSP
PQW_Average-Regular_Approach1,4,1,0,4,8,57.5,115,2.02247191011236,6.49185309632966,3.13645211766145,626,0.6,1.0,1.0,0.6,Approach1,LSP
RMJ_Average-Regular_Approach1,2,1,0,1,2,66.5,133,2.02105263157895,6.58496250072116,3.1738759880186,756,0.6,1.0,1.0,0.7,Approach1,LSP
SVY_Average-Regular_Approach1,2,1,0,1,2,50.0,100,2.0,6.28540221886226,3.14245073102642,400,0.5,0.9,1.0,0.4,Approach1,LSP
UIN_Average-Regular_Approach1,4,1,0,2,4,55.0,110,2.0,6.44294349584872,3.12259977108887,562,0.5,0.9,1.0,0.5,Approach1,LSP
UNY_Average-Regular_Approach1,4,1,0,2,4,68.0,136,2.0,6.61470984411522,3.17597513974777,665,0.5,1.0,1.0,0.6,Approach1,LSP
VNM_Average-Regular_Approach1,2,1,0,1,2,67.0,134,2.01503759398496,7.06608919045778,3.11516218949238,844,0.6,1.0,1.0,0.8,Approach1,LSP
WD_Average-Regular_Approach1,8,2,0,4,8,42.5,85,1.96875,5.97727992349992,3.25259843453502,324,0.5,0.9,1.0,0.3,Approach1,LSP
WD_Average-Regular_Approach1,4,1,0,4,8,42.5,85,1.96875,5.97727992349992,3.25259843453502,324,0.5,0.9,1.0,0.3,Approach1,LSP
WF_Average-Regular_Approach1,8,2,0,4,8,45.5,91,1.97260273972603,6.16992500144232,3.16401540018348,418,0.5,0.9,1.0,0.4,Approach1,LSP
WF_Average-Regular_Approach1,4,1,0,4,8,45.5,91,1.97260273972603,6.16992500144232,3.16401540018348,418,0.5,0.9,1.0,0.4,Approach1,LSP
WFD_Average-Regular_Approach1,8,2,0,4,8,66.0,132,2.0,6.53915881110804,3.26616116150254,624,0.5,1.0,1.0,0.6,Approach1,LSP
WFD_Average-Regular_Approach1,4,1,0,4,8,66.0,132,2.0,6.53915881110804,3.26616116150254,624,0.5,1.0,1.0,0.6,Approach1,LSP
WG_Average-Regular_Approach1,8,2,0,4,8,44.0,88,1.9746835443038,6.28540221886226,3.08108112182187,436,0.5,0.9,1.0,0.4,Approach1,LSP
WG_Average-Regular_Approach1,4,1,0,4,8,44.0,88,1.9746835443038,6.28540221886226,3.08108112182187,436,0.5,0.9,1.0,0.4,Approach1,LSP
WI_Average-Regular_Approach1,8,2,0,4,8,35.5,71,1.96551724137931,5.83289001416474,3.16867580051852,322,0.5,0.9,1.0,0.3,Approach1,LSP
WI_Average-Regular_Approach1,4,1,0,4,8,35.5,71,1.96551724137931,5.83289001416474,3.16867580051852,322,0.5,0.9,1.0,0.3,Approach1,LSP
WJ_Average-Regular_Approach1,8,2,0,4,8,35.5,71,1.96363636363636,5.75488750216347,3.18786210651289,273,0.5,0.9,1.0,0.3,Approach1,LSP
WJ_Average-Regular_Approach1,4,1,0,4,8,35.5,71,1.96363636363636,5.75488750216347,3.18786210651289,273,0.5,0.9,1.0,0.3,Approach1,LSP
WM_Average-Regular_Approach1,8,2,0,4,8,48.0,96,1.97560975609756,6.33985000288461,3.15472194742548,574,0.5,0.9,1.0,0.5,Approach1,LSP
WM_Average-Regular_Approach1,4,1,0,4,8,48.0,96,1.97560975609756,6.33985000288461,3.15472194742548,574,0.5,0.9,1.0,0.5,Approach1,LSP
WP_Average-Regular_Approach1,8,2,0,4,8,40.5,81,2.0,5.97727992349992,3.15416720013682,368,0.5,0.9,1.0,0.4,Approach1,LSP
WP_Average-Regular_Approach1,4,1,0,4,8,40.5,81,2.0,5.97727992349992,3.15416720013682,368,0.5,0.9,1.0,0.4,Approach1,LSP
WPG_Average-Regular_Approach1,8,2,0,4,8,62.5,125,2.0,6.58496250072116,3.15256338287865,579,0.5,1.0,1.0,0.6,Approach1,LSP
WPG_Average-Regular_Approach1,4,1,0,4,8,62.5,125,2.0,6.58496250072116,3.15256338287865,579,0.5,1.0,1.0,0.6,Approach1,LSP
WQ_Average-Regular_Approach1,8,2,0,4,8,40.5,81,1.97142857142857,6.10852445677816,3.16802579048555,388,0.5,0.9,1.0,0.4,Approach1,LSP
WQ_Average-Regular_Approach1,4,1,0,4,8,40.5,81,1.97142857142857,6.10852445677816,3.16802579048555,388,0.5,0.9,1.0,0.4,Approach1,LSP
WW_Average-Regular_Approach1,16,4,0,8,16,38.0,76,1.97368421052632,6.22881869049589,3.17179019236463,426,0.5,0.9,1.0,0.4,Approach1,LSP
WW_Average-Regular_Approach1,4,1,0,8,16,38.0,76,1.97368421052632,6.22881869049589,3.17179019236463,426,0.5,0.9,1.0,0.4,Approach1,LSP
WW_Average-Regular_Approach1,8,2,0,8,16,38.0,76,1.97368421052632,6.22881869049589,3.17179019236463,426,0.5,0.9,1.0,0.4,Approach1,LSP
WW_Average-Regular_Approach1,12,3,0,8,16,38.0,76,1.97368421052632,6.22881869049589,3.17179019236463,426,0.5,0.9,1.0,0.4,Approach1,LSP
WWA_Average-Regular_Approach1,16,4,0,8,16,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
WWA_Average-Regular_Approach1,4,1,0,8,16,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
WWA_Average-Regular_Approach1,8,2,0,8,16,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
WWA_Average-Regular_Approach1,12,3,0,8,16,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
XRT_Average-Regular_Approach1,4,1,0,2,4,72.5,145,2.04545454545454,6.49185309632966,3.19611261625709,622,0.6,1.0,1.0,0.6,Approach1,LSP
XWI_Average-Regular_Approach1,8,2,0,4,8,63.5,127,1.98,6.62935662007962,3.22458820064438,629,0.5,1.0,1.0,0.6,Approach1,LSP
XWI_Average-Regular_Approach1,4,1,0,4,8,63.5,127,1.98,6.62935662007962,3.22458820064438,629,0.5,1.0,1.0,0.6,Approach1,LSP
