letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
NUO_Average-Regular_Approach2,4,1,0,2,4,63.0,126,1.84615384615385,3.58496250072116,2.68872187554087,112,0.5,0.5,0.9,0.1,Approach2,LSP
NWF_Average-Regular_Approach2,5,1,0,2,5,69.0,138,1.8,3.16992500144231,2.50325833477565,99,0.4,0.5,0.8,0.1,Approach2,LSP
OGB_Average-Regular_Approach2,21,4,0,7,21,56.0,112,2.25,4.16992500144231,2.90576458465545,367,0.7,0.6,0.9,0.4,Approach2,LSP
OGB_Average-Regular_Approach2,10,1,0,7,21,56.0,112,2.25,4.16992500144231,2.90576458465545,367,0.7,0.6,0.9,0.4,Approach2,LSP
OGB_Average-Regular_Approach2,16,2,0,7,21,56.0,112,2.25,4.16992500144231,2.90576458465545,367,0.7,0.6,0.9,0.4,Approach2,LSP
OGB_Average-Regular_Approach2,19,3,0,7,21,56.0,112,2.25,4.16992500144231,2.90576458465545,367,0.7,0.6,0.9,0.4,Approach2,LSP
OGW_Average-Regular_Approach2,6,2,0,3,6,51.5,103,1.77777777777778,3.0,2.5,0,0.4,0.5,0.8,0.0,Approach2,LSP
OGW_Average-Regular_Approach2,4,1,0,3,6,51.5,103,1.77777777777778,3.0,2.5,0,0.4,0.5,0.8,0.0,Approach2,LSP
OPN_Average-Regular_Approach2,17,3,0,6,19,59.5,119,2.18181818181818,3.58496250072116,2.85538854220753,284,0.6,0.5,0.9,0.3,Approach2,LSP
OPN_Average-Regular_Approach2,8,1,0,6,19,59.5,119,2.18181818181818,3.58496250072116,2.85538854220753,284,0.6,0.5,0.9,0.3,Approach2,LSP
OPN_Average-Regular_Approach2,14,2,0,6,19,59.5,119,2.18181818181818,3.58496250072116,2.85538854220753,284,0.6,0.5,0.9,0.3,Approach2,LSP
PAZ_Average-Regular_Approach2,16,4,0,7,16,51.0,102,2.1,4.39231742277876,2.98709004162033,375,0.6,0.7,1.0,0.4,Approach2,LSP
PAZ_Average-Regular_Approach2,6,1,0,7,16,51.0,102,2.1,4.39231742277876,2.98709004162033,375,0.6,0.7,1.0,0.4,Approach2,LSP
PAZ_Average-Regular_Approach2,10,2,0,7,16,51.0,102,2.1,4.39231742277876,2.98709004162033,375,0.6,0.7,1.0,0.4,Approach2,LSP
PAZ_Average-Regular_Approach2,14,3,0,7,16,51.0,102,2.1,4.39231742277876,2.98709004162033,375,0.6,0.7,1.0,0.4,Approach2,LSP
PD_Average-Regular_Approach2,13,3,0,4,13,44.0,88,2.0,3.58496250072116,3.0220552088742,176,0.5,0.5,1.0,0.2,Approach2,LSP
PD_Average-Regular_Approach2,8,1,0,4,13,44.0,88,2.0,3.58496250072116,3.0220552088742,176,0.5,0.5,1.0,0.2,Approach2,LSP
PD_Average-Regular_Approach2,11,2,0,4,13,44.0,88,2.0,3.58496250072116,3.0220552088742,176,0.5,0.5,1.0,0.2,Approach2,LSP
PJW_Average-Regular_Approach2,9,2,0,3,9,52.5,105,2.0,3.16992500144231,2.72548055699787,182,0.5,0.5,0.9,0.2,Approach2,LSP
PJW_Average-Regular_Approach2,7,1,0,3,9,52.5,105,2.0,3.16992500144231,2.72548055699787,182,0.5,0.5,0.9,0.2,Approach2,LSP
PYE_Average-Regular_Approach2,10,2,0,4,10,71.0,142,1.86666666666667,3.80735492205761,2.84237099317711,196,0.5,0.6,0.9,0.2,Approach2,LSP
PYE_Average-Regular_Approach2,6,1,0,4,10,71.0,142,1.86666666666667,3.80735492205761,2.84237099317711,196,0.5,0.6,0.9,0.2,Approach2,LSP
PYO_Average-Regular_Approach2,6,1,0,2,6,60.5,121,1.75,3.80735492205761,2.89629152904593,49,0.4,0.6,0.9,0.1,Approach2,LSP
RMJ_Average-Regular_Approach2,8,2,0,3,8,66.5,133,2.0,3.4594316186373,2.41308843642576,143,0.5,0.5,0.8,0.2,Approach2,LSP
RMJ_Average-Regular_Approach2,6,1,0,3,8,66.5,133,2.0,3.4594316186373,2.41308843642576,143,0.5,0.5,0.8,0.2,Approach2,LSP
SF_Average-Regular_Approach2,14,2,0,5,14,36.5,73,2.0,3.16992500144231,2.41938194564637,215,0.5,0.5,0.8,0.2,Approach2,LSP
SF_Average-Regular_Approach2,12,1,0,5,14,36.5,73,2.0,3.16992500144231,2.41938194564637,215,0.5,0.5,0.8,0.2,Approach2,LSP
SH_Average-Regular_Approach2,7,1,0,3,7,47.5,95,2.0,3.58496250072116,2.68872187554087,251,0.5,0.5,0.9,0.3,Approach2,LSP
SL_Average-Regular_Approach2,15,3,0,5,15,29.5,59,2.0,3.58496250072116,2.75162916738782,186,0.5,0.5,0.9,0.2,Approach2,LSP
SL_Average-Regular_Approach2,7,1,0,5,15,29.5,59,2.0,3.58496250072116,2.75162916738782,186,0.5,0.5,0.9,0.2,Approach2,LSP
SL_Average-Regular_Approach2,12,2,0,5,15,29.5,59,2.0,3.58496250072116,2.75162916738782,186,0.5,0.5,0.9,0.2,Approach2,LSP
SNO_Average-Regular_Approach2,10,2,0,4,10,55.0,110,2.0,3.90689059560852,2.3655962303576,281,0.5,0.6,0.8,0.3,Approach2,LSP
SNO_Average-Regular_Approach2,7,1,0,4,10,55.0,110,2.0,3.90689059560852,2.3655962303576,281,0.5,0.6,0.8,0.3,Approach2,LSP
SOF_Average-Regular_Approach2,7,2,0,4,10,56.5,113,2.0,3.4594316186373,2.41308843642576,159,0.5,0.5,0.8,0.2,Approach2,LSP
SOF_Average-Regular_Approach2,4,1,0,4,10,56.5,113,2.0,3.4594316186373,2.41308843642576,159,0.5,0.5,0.8,0.2,Approach2,LSP
SOG_Average-Regular_Approach2,6,2,0,4,8,56.5,113,1.86666666666667,3.80735492205761,3.09306920777189,125,0.5,0.6,1.0,0.2,Approach2,LSP
SOG_Average-Regular_Approach2,4,1,0,4,8,56.5,113,1.86666666666667,3.80735492205761,3.09306920777189,125,0.5,0.6,1.0,0.2,Approach2,LSP
SOS_Average-Regular_Approach2,13,4,0,6,13,52.5,105,2.15384615384615,3.80735492205761,2.54952345959783,325,0.6,0.6,0.8,0.3,Approach2,LSP
SOS_Average-Regular_Approach2,4,1,0,6,13,52.5,105,2.15384615384615,3.80735492205761,2.54952345959783,325,0.6,0.6,0.8,0.3,Approach2,LSP
